idx,tax1,tax2,tax3,company,address,city,lat,lng,website
219,Energy Efficiency,Consulting,Professional Services,"Enel X North America, Inc.","President's Plaza 8700 W Bryn Mawr Ave, North Chicago, IL 60631",North Chicago ,41.982458,-87.842703,https://www.enelx.com/n-a/en
220,Finance,Security/Cybersecurity,Storage,Energize Ventures LLC,"1 S Wacker Dr Suite 1620, Chicago, IL",Chicago ,41.88152,-87.635987,https://www.energize.vc/
221,Consulting,Utility/Grid,Policy,"Energy and Environmental Economics, Inc.","20 E Jackson Blvd, Chicago, IL 60604",Chicago,41.878428,-87.626818,https://www.ethree.com/
222,Oil and Gas,Finance,Professional Services,Energy Distribution Partners,"10 S Wacker Dr Suite 3325, Chicago, IL 60606",Chicago,41.881354,-87.637274,https://edplp.net/
223,Finance,Accelerator/Incubator,Marketing,Energy Foundry,"18 S Michigan Ave Floor 12, Chicago, IL 60603",Chicago ,41.881495,-87.625031,http://www.energyfoundry.com/
224,Finance,Accelerator/Incubator,Marketing,Energy Foundry,"4809 N Ravenswood Suite 414-416, Chicago, IL 60640",Chicago ,41.969374,-87.673781,http://www.energyfoundry.com/
225,Consulting,Utility/Grid,Professional Services,Energy Me LLC,"224 N Desplaines St, Chicago, IL, 60661",Chicago,41.886597,-87.644576,https://www.energy.me/
226,Consulting,Engineering,Energy Efficiency,"Energy Systems Group, LLC","500 Park Blvd Suite 760, Itasca, IL 60143",Itasca,41.986674,-88.017644,https://www.energysystemsgroup.com/
227,Energy Efficiency,Professional Services,Utility/Grid,Energy360 Solutions,"781 Dillon Dr, Wood Dale, IL 60191",Wood Dale,41.979152,-87.966528,https://www.energy360solutions.com/
228,Energy Systems/Management,Storage,Nuclear,EnergySolutions,"101 Shiloh Blvd, Zion, IL, 60099",Zion,42.451443,-87.804747,http://www.energysolutions.com/
229,Energy Efficiency,Lighting,Professional Services,EnerLight,"5934 N Northwest Hwy Chicago, IL 60631",Chicago,41.988876,-87.793232,https://ener-light.com/
230,Generation/Transmission,Utility/Grid,Professional Services,Engie Services U.S.,"225 W Hubbard St Chicago, IL 60654",Chicago ,41.889718,-87.635268,https://engieservices.us/office-locations-and-contacts/
231,Generation/Transmission,Professional Services,,Enginuity Communications,"3545 Stern Ave, St. Charles, IL 60174",St.Charles,41.910388,-88.275307,http://www.enginuitycommunications.com/
232,Consulting,Energy Efficiency,Storage,"Enovation Partners, LLC","332 S Michigan Ave Suite 121-E379, Chicago, IL 60604",Chicago,41.877287,-87.624626,https://www.enovationpartners.com/
233,Policy,Environmental Remediation,,Environment Illinois,"17 N State St Suite 1330, Chicago, IL 60602",Chicago,41.882696,-87.627384,https://environmentillinois.org/
234,Environmental Remediation,Circular Economy,Professional Services,Environmental Cleansing Corporation,"16602 Crawford Ave, Markham, IL 60428",Markham,41.588197,-87.714789,https://eccdemolition.com/
235,Environmental Remediation,Consulting,Professional Services,Environmental Consulting Group,"411 S Wells St, Chicago, IL 60607",Chicago,41.876389,-87.633404,https://www.ecgmidwest.com/
236,Environmental Remediation,Consulting,Engineering,Environmental Group Services Limited,"557 W Polk St Suite 201, Chicago, IL 60607",Chicago,41.87176,-87.641967,http://www.egsl.com/
237,Law,Policy,Consulting,Environmental Law & Policy Center,"35 E Wacker Dr Suite 1600 Chicago, IL 60601",Chicago,41.886629,-87.626799,http://elpc.org/
238,Law,Evaluation/Compliance,,"Environmental Law Counsel, P.C.","180 N LaSalle St Suite 3700, Chicago, IL 60601",Chicago,41.885485,-87.632921,http://environmentallawcounsel.com/
239,Environmental Remediation,Construction,,Environmental Protection Industries,"16650 S Canal St, South Holland, IL 60473",South Holland,41.592345,-87.627283,http://www.environmental-epi.com/
240,Consulting,Engineering,Energy Efficiency,"Environmental Systems Design, Inc.","233 S Wacker Dr Suite 5300, Chicago, IL 60606",Chicago ,41.877873,-87.6332,www.esdglobal.com
241,Enabling Technologies/Components,Manufacturing,,"Essex Electro Engineers, Inc.","2015 Mitchell Blvd, Schaumburg, IL 60193",Schaumburg,41.98946,-88.091477,https://essexelectro.com/about-us/
242,Environmental Remediation,,,Evanston Environmental Association,"2024 McCormick Blvd, Evanston 60201",Evanston,42.056657,-87.700749,https://evanstonenvironment.org/
243,Lighting,Professional Services,Construction,Evergreen Electric Supply,"312 N May St, Chicago, IL 60607",Chicago,41.887511,-87.656031,https://www.evergreensupply.com/
244,Lighting,Professional Services,Construction,Evergreen Electric Supply,"8402 183rd St Suite B, Tinley Park, IL 60487",Tinley Park,41.557383,-87.822588,https://www.evergreensupply.com/
